【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
越前市,ややそう思う,"新幹線の通過駅の可能性があるため
どれくらいの降車駅になりうるか
",ややそう思う,"勤務している会社に恩恵があれば
賃金にも関わるとこれがあるかも
",とてもそう思う,"関東からのお客様が乗換なしで
来ていただける",とてもそう思う,"やはり来ていただけると
福井県が潤う",とてもそう思う,四季を通じて訪れていただきたい,どちらともいえない,,,,3,通過駅になりがち,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",騒音やごみの増加,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",8,"雪がかなり降る
それがなければ",50～59歳,男性,やはりごみは増えると思う,とても好ましい,福井県が潤う,8,雪が降る,3,,
福井市,そう思う,県外から観光に来られる人の流れ,ややそう思う,街の活性化,そう思う,そう願いたい,とてもそう思う,福井をもっと知って欲しい,とてもそう思う,認知度が低いと感じるから,どちらかといえば評価している,,,もっともっとアピールして欲しい,3,,,活性化の期待,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",5,除雪の負担,50～59歳,女性,,とても好ましい,,5,期待したいが良くわからない,3,,
鯖江市,ややそう思う,観光客の増加に伴う経済の好転,そう思う,経済の活性化,そう思う,良いイメージしか浮かばないから,そう思う,リピーターになって欲しいから,そう思う,youtube等に福井県が取り上げられているとうれしいから,どちらかといえば評価している,,,出来ればもっと積極的にして欲しい,3,鯖江は観光スポットが少ないから,,経済の活性化,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 宿泊施設、土産物屋",7,可も無く不可も無く,50～59歳,男性,,好ましい,,7,それほど飛躍するとは思えない,3,,
越前市,全くそうは思わない,"越前たけふ駅は、東京に行くにも関西方面へ行くにも不便になる。
駅も微妙な位置で、不便であり、駅周辺も何もなく、観光客？降りるメリットがわからない。",全くそうは思わない,"越前市住みなので、関西中京方面は電車は利用せず車で行くようになると思う。
東京へ行く際も、敦賀まで車で行って、米原周りで行った方が都合が良い気がする。
サンダーバードがなくなるのは、福井にとっては致命的だと思う。",あまりそうは思わない,あわら温泉へ観光客の増加を期待したいが、それ以外は福井へ行くのは不便になったと思うので、微妙である,そう思う,福井を選んで来てくれるのは嬉しい事だから,そう思う,あわら温泉や越前がになど観光客が目的としてくれたら嬉しい,どちらかと言えば評価していない,,,越前たけふ駅周辺が何も出来ていないのに、紫式部だけ推しすぎで、魅力を感じない。,3,,,福井に魅力があるんだなと思えるから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",治安の悪化,宿泊施設、土産物屋,6,福井県としては子育て支援をおしているが、越前市がほぼ無く紫式部ばかりで、住民を大切にしてる気がしない,20～29歳,女性,,好ましい,,5,,3,,
福井市,そう思う,県外からの観光客が増えそう,そう思う,県外に出やすくなる,とてもそう思う,地域活性化する,そう思う,福井県の魅力を知ってほしい,そう思う,福井県には魅力的なところがたくさんあるから,評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化, 日常生活に影響が出るほどの不安",観光スポットを結ぶ交通機関,6,,20～29歳,女性,,どちらかと言えば好ましい,,5,,3,,
越前市,ややそう思う,首都圏から一本で来られるようになるから,あまりそうは思わない,敦賀で乗り換えないといけない。運賃が高くなる。,そう思う,経済的な面で,そう思う,福井の良さを知ってほしいから,そう思う,魅力ある場所であるため,どちらかといえば評価している,,,取り組みが見えるから,4,他地域に比較してインパクトにかける,,活性化するから,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 駐車場",6,経済的に苦しいから,60～69歳,男性,,好ましい,,6,現状と変わらないか悪くなっていると思う,3,,
福井市,あまりそうは思わない,東京へ直通となることで、一見便利になるように見える反面、運賃が今より高くなるため、高くなるくらいなら、今まで通り、特急から米原経由のものを残してほしかったと改めて思うので。,あまりそうは思わない,関東に出かけるのを楽しみにしていたが、現在、生活面もひっ迫している中で、運賃の高騰というところがどうしても悲しい。,あまりそうは思わない,直通で福井に来れることを売りにしているようだが、正直、福井駅界隈も観光に来た方が存分に楽しめるほど賑わっているとはお世辞にも言えない閑散ぶりなので…。,そう思う,「福井ってどこ？」と思う方もまだいる中で、少しでも興味をもって訪れてくださる方をとても歓迎したい！,あまりそうは思わない,観光に来た方に「また来たい！」と思っていただけるような街というには、まだまだ程遠いと思う。駅から目的地までの公共交通機関が充実していない、というのがものすごい弱点だと感じる。運転手不足、という文字をよく目にするが、そういう交通の面で動いてくださる方への給与等アップ等も課題になるのではないか。,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",3,どこへ出かけるにもアクセスが悪く、交通費もかさむので旅行の楽しみが激減する。,40～49歳,女性,道路の渋滞等が懸念されます。,どちらかと言えば好ましい,,3,,3,,
鯖江市,あまりそうは思わない,特急列車の廃止,あまりそうは思わない,関西方面への利便性低下,あまりそうは思わない,,そう思う,,そう思う,,どちらかといえば評価している,,,,3,,,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",体験施設,7,,40～49歳,無回答,,どちらかと言えば好ましい,,7,,4,,
坂井市,とてもそう思う,"石川からそのまま
足を伸ばせる",とてもそう思う,県外にいる身内にすぐ会いに行ける,とてもそう思う,福井県を知ってもらえる,とてもそう思う,"また帰った時に
福井のアピールしてもらえる",とてもそう思う,みんなに知ってもらいたい,評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",特に心配はない,観光スポットを結ぶ交通機関,10,,50～59歳,女性,,とても好ましい,,10,,5,,
鯖江市,あまりそうは思わない,新幹線ができたことで JRが不便になった,あまりそうは思わない,利用するとは限らない,ややそう思う,リピーターで来てくれるかどうか分からないね,とてもそう思う,協力は惜しまない,ややそう思う,,評価している,,,,5,伝統産業の認知,,活性化,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",5,,60～69歳,女性,,とても好ましい,,8,,5,,
