回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
496,RS00049672,2023-07-10T08:14:21,男性,北中山,自然豊かなところ,道路がガタガタしているところ,１．いま住んでる地区にずっと住み続けたい,,家があるから,パソコン;スマートフォン（スマホ）;タブレット端末,,個性を尊重し多様なライフスタイルが実現できるまち,,,
495,RS00049524,2023-07-10T08:13:50,女性,北中山,"あじさいが多い
話しやすい",がたがたな道路をなおしてほしい,１．いま住んでる地区にずっと住み続けたい,,"住みやすいから
平和",スマートフォン（スマホ）;タブレット端末,,防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち;高度な医療や福祉サービスが充実したまち,,いつでも遊べる場所がほしい,
494,RS00049419,2023-07-10T08:13:46,女性,中河,"散歩に適した場所がある
挨拶をしたら帰ってくる
地区の体育大会がある","遊べる場所がすくない
勉強できる場所を増やしてほしい
自転車用の道が少ない",５．県外に移りたい,東京　大阪　福岡　名古屋　,"行きたい大学があるから
住みやすい",スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち;個性を尊重し多様なライフスタイルが実現できるまち,,"イオンを建ててほしい
",
493,RS00049354,2023-07-10T08:13:25,男性,北中山,山がある,遊ぶ所が少ない,５．県外に移りたい,京都,そこでやりたい事があるから,パソコン;スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;産業が盛んで働く場所が充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,福井県外からもたくさん来るような街,頑張ってください
492,RS00049242,2023-07-10T08:12:58,女性,北中山,"あじさいがたくさんある
自然が豊か
公民館が勉強で使える
","遊べる場所が少ない、お金がかかる
",１．いま住んでる地区にずっと住み続けたい,,いいところがたくさんあるから,スマートフォン（スマホ）;タブレット端末;テレビ,,だれもが自由に移動できる交通利便性の高いまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,,"ショピングモールなどを増やしてほしい
勉強できる場所を増やす",
491,RS00049152,2023-07-10T08:12:45,女性,片上,自然がいっぱい,,１．いま住んでる地区にずっと住み続けたい,,今住んでいる所が落ち着くから。,スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち,,,
490,RS00049090,2023-07-10T08:12:07,女性,河和田,"昔ながらの町並みが残っているところ
ホタルが見れるところ
つつじバスが100円で乗れるところ","交通手段が少ない
",１．いま住んでる地区にずっと住み続けたい,,住んでいるところが好きだから,タブレット端末;テレビ;新聞・雑誌など,,防災対策や防犯対策が十分で安全安心に暮らせるまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,昔ながらの伝統を受け継いでいってほしい,これからも市民の安全や暮らしを守っていってほしい
489,RS00048945,2023-07-10T08:11:53,男性,中河,なばながきれいでさくらきれい,ショッピングモールがほしい,４．県内の他の市町に移りたい,東京、京都,いろんな環境になれたいから,スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;歴史・伝統・芸術・文化を大切にするまち,,"大きい広場があったり
道の駅をもっと豪華にしてほしい",ない
488,RS00048862,2023-07-10T08:11:44,男性,河和田,ファミマがあるとこ,遊べる場所少ない,５．県外に移りたい,東京,田舎よりも都会に行きたいから,スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;まちなみや景観が美しいまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,大型ショピングモールを建てる,大都市にしてください
487,RS00048792,2023-07-10T08:10:51,女性,北中山,あじさいが１００００本あるところ,"ゆったりして過ごせる場がない
友達と室内で遊びたい",１．いま住んでる地区にずっと住み続けたい,,住みやすく、みんなが優しいから,パソコン;スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,公共の施設（遊べる建物）を作ってほしい,道路でボコボコしたところがある
486,RS00048698,2023-07-07T08:17:39,男性,新横江（鯖江東小学校区）,ゴミなどがあまり落ちていないこと,安全性のない場所があるとこ,２．一度、市を出て、また帰ってきたい,,鯖江にはない他の経験をしたいから,スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち,,みんなが明るく暮らせる鯖江市,
485,RS00048580,2023-07-07T08:14:19,回答しない,豊,,友だちと遊べる施設を増やしてほしい,４．県内の他の市町に移りたい,福井市,福井の中では何でもある方だから,スマートフォン（スマホ）,,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,イオンモールとラウンドワンがある市,ない
484,RS00048405,2023-07-07T08:09:13,女性,新横江（鯖江東小学校区）,近くにスーパーがある,友達と遊ぶ場所がない,５．県外に移りたい,大阪府,人がおおくて楽しそうだから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,友達と遊べるところが多くなってほしい,友達と遊べる場所を増やしてほしい
483,RS00048393,2023-07-07T08:07:19,女性,豊,,,２．一度、市を出て、また帰ってきたい,,違う地区に行ってみたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,歴史・伝統・芸術・文化を大切にするまち;だれもが自由に移動できる交通利便性の高いまち;まちなみや景観が美しいまち,,自然がいっぱいなまち,
482,RS00048243,2023-07-07T08:02:18,女性,豊,田んぼが多くて静かなところ,友達と遊ぶ場所が少ない,５．県外に移りたい,大阪府,住みやすそうだから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;高度な医療や福祉サービスが充実したまち,,スーパーが増えて都会になる,遊ぶ場所が増えてほしい
481,RS00048195,2023-07-06T22:20:24,女性,鯖江（惜陰・進徳小学校区）,周りに田んぼや王山古墳があって自然豊か,遊べる場所がない,２．一度、市を出て、また帰ってきたい,,将来の夢が県外でおこなう仕事だから,スマートフォン（スマホ）,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,大型施設やお店をもっと増やしてもっとにぎやかになってほしい,
480,RS00048085,2023-07-06T20:52:36,女性,新横江（鯖江東小学校区）,,,１．いま住んでる地区にずっと住み続けたい,,"人が多すぎない
住みやすい",パソコン;テレビ,,防災対策や防犯対策が十分で安全安心に暮らせるまち;高度な医療や福祉サービスが充実したまち;スポーツに親しむ環境が整備されたまち,,,
